,مصارفات روزانه دفتر  و تعمیرللندر 4,,,,,,,
"$218,331.0",$16.0,63.7,,"AFN 1,020",پرداخت برای تداوی دست چوکیدار تعمیر للندر 4 توسط انجنیر صاحب صفی الله,8-Mar-26,388.0195402,
"$218,334.2",$3.1,63.7,,AFN 200,خریداری چاکلیت برای تعمیر للندر 4,8-Mar-26,389.1689655,
"$220,836.1","$2,502.0",63.55,,"AFN 159,000",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4 ,10-Mar-26,391.4678161,
"$220,883.3",$47.2,63.55,,"AFN 3,000",پیش پرداخت برای زین الله ولد محمد ظاهر بابت ماه حوت 1404,10-Mar-26,392.6172414,
"$220,914.8",$31.5,63.55,,"AFN 2,000",خریداری تیل دیزل به جنراتور تعمیر للندر 4 ,10-Mar-26,393.7666667,
"$222,305.8","$1,391.0",63.55,"$1,391.00",,پرداخت برای شرکت فراز آژمان بابت خریداری کاک سقفی به تعمیر للندر 4 ,10-Mar-26,394.916092,
"$222,309.0",$3.1,63.5,,AFN 200,خردیداری گاز مایع به دفتر ساحوی تعمیر للندر 4,11-Mar-26,396.0655172,
"$222,320.8",$11.8,63.5,,AFN 750,خریداری بکس آب بازک به تعمیر للندر 4,11-Mar-26,397.2149425,
"$222,374.3",$53.5,63.5,,"AFN 3,400",خریداری دو بسته سیم جستی یکنیم میلی به تعمیر للندر 4,11-Mar-26,398.3643678,
"$222,435.0",$60.6,63.5,,"AFN 3,850",خریداری دو بسته سیم جستی و پلاستر دستکش به تعمیر للندر 4,11-Mar-26,399.5137931,
"$222,623.3",$188.3,63.5,,"AFN 11,960",خریداری سیم جستی موزه و عینک به تعمیر للندر 4,11-Mar-26,400.6632184,
"$222,634.0",$10.7,63.5,,AFN 680,"خریداری چراغ , ریسمان و دستکش به تعمیر للندر 4",11-Mar-26,401.8126437,
"$222,823.6",$189.6,63.5,,"AFN 12,040","خریداری سیم جستی , آب ترازو, پل برش , چارجر پروجکتور, گروپ پشمی, دستکش و قلم توش به تعمیر للندر 4",11-Mar-26,402.962069,
"$222,827.6",$3.9,63.5,,AFN 250,خریداری کندک سر به تعمیر للندر 4,11-Mar-26,404.1114943,
"$222,838.6",$11.0,63.5,,AFN 700,"خریداری چکوش, کلام چینی و ربل به تعمیر للندر 4",11-Mar-26,405.2609195,
"$222,845.7",$7.1,63.5,,AFN 450,"خریداری قلف, زلفی و غیره به تعمیر للندر 4",11-Mar-26,406.4103448,
"$222,979.5",$133.9,63.5,,"AFN 8,500",خریداری سیم جستی 5 بندل به تعمیر للندر4 ,11-Mar-26,407.5597701,
"$229,979.5","$7,000.0",63.5,"$7,000.00",,پرداخت برای شرکت افغان پلانت بابت کانکریت ریزی تعمیر للندر 4,11-Mar-26,408.7091954,
"$230,079.5",$100.0,63.6,,"AFN 6,360",پیش پرداخت برای احمد فرید للندر بابت ماه حوت 1404,12-Mar-26,408.7091954,
"$230,110.9",$31.4,63.7,,"AFN 2,000",پرداخت اجرت دو نفر گلکار بابت کانکریت ریزی چت منزل پنجم تعمیر للندر 4 سکشن B,14-Mar-26,409.8586207,
"$230,133.0",$22.0,63.5,,"AFN 1,400",پرداخت اجرت 4 نفر کاریگر بخاطری پرانه و پرکاری بوری های تعمیر للندر4,15-Mar-26,411.008046,
"$230,177.1",$44.1,63.5,,"AFN 2,800",پرداخت اجرت 8 نفر کاریگر بخاطری کانکریت ریزی شیروال های تعمیر للندر 4,15-Mar-26,412.1574713,
"$234,691.2","$4,514.2",63.5,,"AFN 286,650",پرداخت برای گلبدین بابت قالبکاری تعمیر للندر 4,15-Mar-26,413.3068966,
"$234,707.0",$15.7,63.5,,"AFN 1,000",پرداخت برای احمد فرید للندر بابت فعال نمودن انترنت و کارت مبایل بابت تعمیر للندر 4,15-Mar-26,414.4563218,
"$234,718.0",$11.0,63.5,,AFN 700,خریداری تیل دیزل به جنراتور للندر 4,15-Mar-26,415.6057471,
"$234,733.8",$15.7,63.5,,"AFN 1,000",پرداخت برای انجیر صفی الله بابت فعال نمودن انترنت و کارت مبایل بابت تعمیر للندر 4,15-Mar-26,416.7551724,
"$234,798.6",$64.8,63.83,,"AFN 4,138",پرداخت ماش شریف الله ولد فیض محمد بابت ماه حوت 1404 ,16-Mar-26,417.9045977,
"$234,955.2",$156.7,63.83,,"AFN 10,000",پیش پرداخت برای احمد فرید للندر بابت ماه حمل 1405,16-Mar-26,419.054023,
"$235,020.1",$64.8,63.83,,"AFN 4,138",پرداخت ماش هارون ولد فیض رحمان بابت ماه حوت 1404,16-Mar-26,420.2034483,
"$235,024.9",$4.9,63.83,,AFN 310,پرداخت ماش زین الله ولد محمد ظاهر بابت ماه حوت 1404,16-Mar-26,421.3528736,
"$235,165.4",$140.5,63.83,,"AFN 8,966",پرداخت ماش عنایت الله ولد امان الله بابت ماه حوت 1404,16-Mar-26,422.5022989,
"$235,297.6",$132.2,63.83,,"AFN 8,440","خریداری میوه خشک از قبیل بادام, نخود, کشمش, پسته,سیمیان به کارمندان ناحیه بابت للندر4",16-Mar-26,423.6517241,
"$235,313.3",$15.7,63.7,,"AFN 1,000",خریداری تیل پطرول برای موتری نقری به تعمیر للندر4,17-Mar-26,424.8011494,
"$235,321.2",$7.8,63.7,,AFN 500,خریداری تیل پطرول برای ویبراتور ها به تعمیر للندر 4,17-Mar-26,425.9505747,
"$235,329.0",$7.8,63.7,,AFN 500,خریداری تیل دیزل برای جنراتور  به تعمیر للندر 4,17-Mar-26,427.1,
"$235,344.7",$15.7,63.7,,"AFN 1,000",خریداری مبلایل برای جنراتور به تعمیر للندر 4,17-Mar-26,428.2494253,
"$235,388.7",$44.0,63.7,,"AFN 2,800",پرداخت برای ترمیم جک کمر به تعمیر للندر 4,17-Mar-26,429.3988506,
"$235,781.1",$392.5,63.7,,"AFN 25,000",پرداخت معاش معبوب الله بابت ماه دلو 1404 به تعمیر للندر 4,17-Mar-26,430.5482759,
"$235,969.5",$188.4,63.7,,"AFN 12,000",پرداخت معاش صفی الله ولد رفیع الله بابت ماه حوت سال 1404 به تعمیر للندر4,17-Mar-26,431.6977011,
"$236,092.2",$122.7,63.7,,"AFN 7,815",پرداخت پول باقیمانده نصیر احمد خوازه کار بابت تعمیر للندر 4,17-Mar-26,432.8471264,
"$236,186.4",$94.2,63.7,,"AFN 6,000",پرداخت برای گلبدین بابت قالبکاری تعمیر للندر 4 بدست کاریگرش نیک محمد,17-Mar-26,433.9965517,
"$241,186.4","$5,000.0",63.7,"$5,000.00",,پرداخت برای شرکت افغان پلانت بابت کانکریت ریزی تعمیر للندر 4 ( نوت: مبلغ هذا توسط جاوید سکندری پرداخت گردیده است ,17-Mar-26,435.145977,
"$241,516.1",$329.7,63.7,,"AFN 21,000",پرداخت معاش مهراج الدین بابت ماه حوت سال 1404 ,18-Mar-26,436.2954023,
"$242,301.0",$784.9,63.7,,"AFN 50,000",پرداخت معاش صفی الله صدیقی ولد حبیب الله بابت ماه حوت سال 1404 ,18-Mar-26,437.4448276,
"$242,379.5",$78.5,63.7,,"AFN 5,000",پیش پرداخت برای فرید للندر بابت ماه حمل 1405 ,18-Mar-26,438.5942529,
"$243,729.5","$1,350.0",63.7,"$1,350.00",,پرداخت برای مواد ساختمانی فراز آژمان بابت خریداری کاک سقفی به تعمیر للندر 4 ,18-Mar-26,439.7436782,
"$243,732.6",$3.1,64.3,,AFN 200,خریداری فیس اصلی و گازکیت به تعمیر للندر 4 ,24-Mar-26,440.8931034,
"$243,768.4",$35.8,64.3,,"AFN 2,300",خریداری بطری 60 AH ترکی به موتر نقره یی مربوط تعمیر للندر 4 ,24-Mar-26,442.0425287,
"$243,787.8",$19.4,64.3,,"AFN 1,250","خریداری موبلابل, فلتر و دو دانه چراغ به موتر نقره یی مربوط تعمیر للندر 4 ",24-Mar-26,443.191954,
"$243,800.3",$12.4,64.3,,AFN 800,خریداری گیلاس چای خوری و دست پاک به تعمیر للندر 4,25-Mar-26,444.3413793,
"$243,831.4",$31.1,64.3,,"AFN 2,000",خریداری تیل دیزل به جنراتور تعمیر للندر 4,25-Mar-26,445.4908046,
"$243,986.6",$155.3,64.4,,"AFN 10,000",پرداخت برای گلبدین بابت سیم تابی و قالبکاری تعمیر للندر 4 بدست قیام الدین,26-Mar-26,,
"$243,989.7",$3.1,64.4,,AFN 200,خریداری کارت مبایل برای فرید للندر بخاطر رایگان نمودن سیم کارت,26-Mar-26,,
"$244,000.5",$10.7,64.4,,AFN 690,"خریداری مواد خوراکه چای صبح, چاشت و شب چوکیدار للندر 4 در روز های عید سعید الفطر همرا با گاز مایح",28-Mar-26,446.6402299,
"$244,016.0",$15.5,64.4,,"AFN 1,000",خریداری تیل دیزل به جنراتور تعمیر للندر 4,28-Mar-26,447.7896552,
"$244,020.6",$4.7,64.4,,AFN 300,پرداخت بابت کراکی به تعمیر للندر 4,28-Mar-26,448.9390805,
"$244,144.9",$124.2,64.4,,"AFN 8,000",پرداخت برای بشیر کرن کار بابت نصب پایه های سولر شرکت مخابراتی افغان بیسیم تعمیر للندر 4,28-Mar-26,452.3873563,
"$244,175.9",$31.1,64.4,,"AFN 2,000",خریداری تیل دیزل برای جنراتور به تعمیر للندر 4,28-Mar-26,453.5367816,
"$244,191.3",$15.4,65,,"AFN 1,000",خریداری گاز به تعمیر للندر 4,29-Mar-26,454.6862069,
"$244,237.5",$46.2,65,,"AFN 3,000",پیش پرداخت برای شریف الله ولد محمد ظاهر بابت ماه حمل 1404 توسط حاجی ثنا الله,29-Mar-26,455.8356322,
"$245,520.5","$1,283.0",65.15,"$1,283",,پرداخت برای شرکت فراز آژمان بابت خریداری کاک سقفی به تعمیر للندر 4,30-Mar-26,456.9850575,
"$245,535.8",$15.3,65.15,,"AFN 1,000",خریداری کارت مبایل برای انجنیر صفی الله,30-Mar-26,458.1344828,
"$245,542.0",$6.1,65.15,,AFN 400,پرداخت برای کاکا بادام گل بابت انتقال سیخ از دارالامان به تعمیر للندر 4,31-Mar-26,459.283908,
"$246,539.6",$997.7,65.15,,"AFN 65,000",پرداخت برای گلبدین سیم تابی و قالبکاری تعمیر للندر 4,31-Mar-26,460.4333333,
"$246,555.1",15.42495758,64.83,,"AFN 1,000",خریداری تیل پطرول به موتر کرولا نقره ایی به تعمیر للندر 4,1-Apr-26,461.5827586,
"$246,585.9",$30.8,64.83,,"AFN 2,000",خریداری تیل پطرول به موتر کرولا نقره ایی به تعمیر للندر 4,1-Apr-26,462.7321839,
"$246,590.3",$4.4,64.83,,AFN 286,خریداری نت و بولت سفید به تعمیرللندر 5,1-Apr-26,463.8816092,
"$246,604.5",$14.1,64.83,,AFN 916,خریداری نت و بولت و سیخ چوری دار به تعمیر للندر 4,1-Apr-26,465.0310345,
"$246,657.8",$53.3,64.83,,"AFN 3,456",خریداری آهن پلیت 8 میلی 30/30 به تعمیرللندر 4,1-Apr-26,466.1804598,
"$246,673.2",$15.4,64.83,,"AFN 1,000",پرداخت برای مبلایل تبدیلی جنراتور تعمیر للندر 4,1-Apr-26,465.0310345,
"$246,674.7",$1.5,64.83,,AFN 100,خریداری چای سبز به دفتر ساحوی تعمیر للندر 4,1-Apr-26,466.1804598,
"$246,690.2",$15.4,64.83,,"AFN 1,000",پیش پرداخت برای شریف الله ولد محمد ظاهر بابت ماه حمل 1405 ,1-Apr-26,467.3298851,
"$256,690.2","$10,000.0",64.83,"$10,000.00",,پرداخت برای شرکت کانکریت ریزی افغان پلانت بابت تعمیر للندر 4       مبلغ هذا توسط جاوید سکندری پرداخت گردیده است,1-Apr-26,468.4793103,
"$256,705.6",$15.4,64.83,,"AFN 1,000",پرداخت معاش احمد فرید للندر بابت ماه حوت 1404 ,1-Apr-26,469.6287356,
"$256,721.0",$15.4,64.9,,"AFN 1,000",پیش پرداخت برای عبدالمتین ولد نیک محمد بابت ماه حمل 1405,2-Apr-26,470.7781609,
"$256,909.0",$188.0,64.9,,"AFN 12,200",پرداخت برای شرکت هرات الکریت بابت خریداری کیبل 2/4 ملی به تعمیر للندر4,2-Apr-26,471.9275862,
"$257,033.8",$124.8,64.9,,"AFN 8,100","خریداری پیچکش برقی و آب گرمی به تعمیر للندر 4 و خریداری سیم جستی, رجه و فیوز به تعمیر للندر 4",2-Apr-26,473.0770115,
"$257,064.6",$30.8,64.9,,"AFN 2,000",پرداخت اجرت دو نفر گلکار بابت کانکریت ریزی چت منزل هفتم تعمیر للندر 4,2-Apr-26,474.2264368,
"$257,070.2",$5.5,64.9,,AFN 360,خریداری چای به تعمیر للندر 4,2-Apr-26,475.3758621,
"$257,083.1",$12.9,64.9,,AFN 840,"خریداری بوره, گاز و مایع ظرف شویی به تعمیر للندر 4",2-Apr-26,476.5252874,
"$257,111.4",$28.4,64.9,,"AFN 1,840",خریداری تیل پطرول به ویبراتوز ها و تیل دیزل به جنراتور تعمیر للندر 4,2-Apr-26,477.6747126,
"$257,142.3",$30.8,64.9,,"AFN 2,000",خریداری تیل دیزل برای جنراتور به تعمیر للندر 4,4-Apr-26,477.6747126,
"$257,157.7",$15.4,64.9,,"AFN 1,000",خریداری تیل پطرول برای موتری نقره ای به تعمیر للندر 4,4-Apr-26,478.8241379,
"$257,311.5",$153.8,65,,"AFN 10,000",پیش پرداخت برای صفی الله ولد عبدالرفیع چوکیدار تعمیر للندر 4 بابت ماه حمل 1405,5-Apr-26,479.9735632,
"$257,326.9",$15.4,65,,"AFN 1,000",خریداری گاز به آشپز خانه بخاطری پخت غذا به کاریگران تعمیر للندر 4,5-Apr-26,481.1229885,
"$257,780.8",$453.9,64.93,,"AFN 29,470","خریداری روغن, برنج, لوبیا, نخود, زرد چوبه, زیره, مرچ سرخ, سیاه, مصاله, نمک, بوره, ماش, رب, مایع نایاب, چای , کچالو, پیاز همرا با کرای کراچی و رفت و آمد به دفتر",6-Apr-26,483.4218391,
"$257,888.6",$107.8,64.93,,"AFN 7,000",خریداری ویبراتور چینای سفید به تعمیر للندر 4,6-Apr-26,484.5712644,
"$257,911.7",$23.1,64.93,,"AFN 1,500",خریداری تیل پطرول به کرولای نقره یی به تعمیر للندر 4,6-Apr-26,485.7206897,
"$257,927.1",$15.4,64.93,,"AFN 1,000",پرداخت برای هارون ولد فیض محمد بابت ماه حمل 1405 ,6-Apr-26,486.8701149,
"$267,927.1","$10,000.0",64.93,"$10,000.00",,پرداخت برای شرکت کانکریت ریزی افغان پلانت بابت تعمیر للندر 4,6-Apr-26,488.0195402,
"$376,034.1","$108,107.0",64.93,"$108,107",AFN 0,پرداخت برای شرکت کانکریت ریزی افعان پلانت بابت خریداری 1360 خریطه سمنت فروشی حاجی قاسم       به نرخ دالر 10817 دالر امریکایی   و مبلغ هذا توسط جاوید سکندری پرداخت گردیده است,7-Apr-26,,
"$376,832.5",$798.4,64.93,,"AFN 51,840",پرداخت برای گلبدین بابت سیم تابی و قالبکاری تعمیر للندر 4,8-Apr-26,489.1689655,
"$377,144.7",$312.2,64.93,,"AFN 20,270","خریداری قلف و پرده به تعمیر للندر 4, خریداری امبور, دستکش و ربل به تعمیر للندر 4, خریداری یک بندل پرده به تعمیر للندر 4 و خریداری سیم جستی به تعمیر للندر4",9-Apr-26,490.3183908,
"$377,175.5",$30.9,64.8,,"AFN 2,000",خریداری تیل دیزل به جنراتور تعمیر للندر4,14-Apr-26,491.4678161,
"$377,177.8",$2.3,64.8,,AFN 150,خریداری تیل پطرول برای ویبراتور ها به تعمیر للندر4,14-Apr-26,492.6172414,
"$377,208.7",$30.9,64.8,,"AFN 2,000",پیش پرداخت فرید للندر بابت ماه حمل 1405,14-Apr-26,493.7666667,
"$377,224.1",$15.4,64.9,,"AFN 1,000",پیش پرداخت برای عبدالمتین ولد نیک محمد بابت ماه حمل 1405 ,14-Apr-26,494.916092,
"$377,236.4",$12.3,64.9,,AFN 800,پرداخت برای کاکا بادام گل بابت کرای انتقال ریگ از دارالامان به تعمیر للندر 4,14-Apr-26,496.0655172,
"$377,294.2",$57.8,64.9,,"AFN 3,750","پرداخت اجرت دو نفر گلکار بابت کانکریت ریزی چت منزل هفتم تعمیر للندر 4, پرداخت اجرت پنج نفر کاری بابت کاری های ساحوی و ضرورت ساحوی به تعمیرللندر 4",14-Apr-26,497.2149425,
"$378,294.2","$1,000.0",64.9,,"AFN 64,900",پرداخت برای گلبدین بدست قیام الدین بابت سیم تابی و قالبکاری تعمیر للندر4,14-Apr-26,498.3643678,
"$378,309.6",$15.4,64.9,,"AFN 1,000",پیش پرداخت برای فرید للندر ولد علاوالدین بابت ماه حمل 1405,14-Apr-26,499.5137931,
"$378,367.3",$57.6,64.9,,"AFN 3,740",خریداری پلیت 8 میلی 30x30 بابت تعمیر للندر4,14-Apr-26,500.6632184,
"$378,369.9",$2.6,64.9,,AFN 170,"خریداری سامی داخل چوری, رشته و تفلون به تعمیر للندر 4",14-Apr-26,501.8126437,
"$378,397.6",$27.7,64.9,,"AFN 1,800",خریداری تیل پطرول به کرولای نقره یی بابت تعمیر للندر4,14-Apr-26,502.962069,
"$378,428.4",$30.8,64.9,,"AFN 2,000",خریداری تیل دیزل به جنراتور تعمیر للندر 4,14-Apr-26,504.1114943,
"$378,443.8",$15.4,64.9,,"AFN 1,000",خریداری 5 کواتر مبلایل به جنراتور تعمیر للندر 4,14-Apr-26,505.2609195,
"$378,446.2",$2.3,64.9,,AFN 150,خریداری تیل پطرول به ویبراتور های تعمیر للندر 4 ,14-Apr-26,,
"$386,446.2","$8,000.0",64.9,"$8,000.00",,پرداخت برای شرکت کانکریت ریزی افغان پلانت بابت تعمیر للندر 4     پرداخت توسط حاجی عاشق الله و حاجی ثنا الله صورت گرفت,14-Apr-26,506.4103448,
"$386,447.7",$1.5,64.85,,AFN 100,خریداری چلکلیت به تعمیر للندر 4,16-Apr-26,507.5597701,
"$386,487.8",$40.1,64.85,,"AFN 2,600",خریداری یک پیپ ویبراتور کلفدار به تعمیر للندر 4,16-Apr-26,508.7091954,
"$386,522.5",$34.7,64.85,,"AFN 2,250",خریداری تیل دیزل برای ویبراتور ها و تیل پطرول به تعمیر للندر 4,16-Apr-26,509.8586207,
"$386,537.9",$15.4,64.8,,"AFN 1,000",پیش پرداخت برای هارون ولد فیض محمد کاریگر به تعمیر للندر4 بابت ماه حمل 1405,18-Apr-26,511.008046,
"$386,568.8",$30.9,64.81,,"AFN 2,000",خریداری تیل پطرول برای موتری نقره به تعمیر للندر 4,19-Apr-26,512.1574713,
"$386,599.6",$30.8,64.86,,"AFN 2,000",خریداری تیل پطرول برای موتری نقره به تعمیر للندر 4,19-Apr-26,513.3068966,
"$386,716.6",$116.9,64.86,,"AFN 7,585",پرداخت مصرف بل برق تعمیر للندر 4 بابت ماه دلو و حوت 1404,19-Apr-26,514.4563218,
"$386,721.9",$5.4,64.86,,AFN 350,خریداری کارت مبایل برای احمد فرید للندر رایگان نمودن دقایق,19-Apr-26,515.6057471,
"$392,089.8","$5,367.9",64.86,,"AFN 348,160",پرداخت برای سمنت فروشی حاجی قاسم بابت خریداری یک تیلر سمنت ایرانی به شرکت کانکریت ریزی افغان پلانت تعمیر للندر 4  از صرافی خانی گل چک نمبر 2386,19-Apr-26,516.7551724,
"$393,389.8","$1,300.0",64.5,,"AFN 83,850",پرداخت برای گلبدین بابت سیم تابی و قالبکاری تعمیر للندر 4 بدست قیام الدین,21-Apr-26,517.9045977,
"$404,019.8","$10,630.0",64.5,"$10,630.00",,پرداخت برای شرکت کانکریت ریزی افغان پلانت بابت کانکریت ریزی چت منزل هفتم تعمیر للندر 4 بابت خریداری 1160 خریطه ایرانی شاه روت از سمنت فروشی شاه حسین و اجرا آن توسط صرافی  خانی گل توسط چک نمبر 2391,21-Apr-26,519.054023,
"$404,060.7",$40.9,64.5,,"AFN 2,640","خریداری چای ماش, مایع , تیل دیزل به جنراتور, تیل پطرول به ویبراتور های تعمیر للندر 4",22-Apr-26,,
"$404,096.4",$35.7,$64.5,,"AFN 2,300",پرداخت برای فیس انترنیت فایبر نوری بابت ماه ثور سال 1405 به تعمیر للندر 4,23-Apr-26,520.2034483,
"$404,251.4",$155.0,$64.5,,"AFN 10,000",پرداخت برای گلبدین بابت سیم تابی و قالبکاری تعمیر للندر 4 بدست قیامدین ,23-Apr-26,521.3528736,
"$404,422.0",$170.5,$64.5,,"AFN 11,000",پرداخت اجرت روزانه محمد نور خوازه کار بابت 11 روز فی روز از قرار 1000 افغانی در تعمیر للندر 4 ,23-Apr-26,522.5022989,
"$404,437.5",$15.5,$64.5,,"AFN 1,000",پرداخت برای مصارفات کارت مبایل و انترنت انجنیر صفی الله ,23-Apr-26,523.6517241,
"$404,497.2",$59.7,$64.5,,"AFN 3,850","پرداخت اجرت دو نفر گلکار و کاریگربابت کانکریت ریزی چت منزل هشتم تعمیر للندر 4 و پرداخت اجرت سه نفر کاریگر بابت انجام کار های متفرقه از قبیل همکاری با خوازه کار, و جمع آوری سیخ های جک کمر شده تعمیر للندر 4 ",23-Apr-26,524.8011494,
"$404,889.5",$392.3,$64.5,,"AFN 25,305","خریداری موزه, دستکش, پرده, کلفت, سیم, آب ترازو و غیره بابت تعمیر للندر 4",23-Apr-26,525.9505747,
"$405,664.7",$775.2,$64.5,,"AFN 50,000",پرداخت معاش انجنیر صفی الله ولد حبیب الله بابت ماه حمل سال 1404 ,23-Apr-26,527.1,
"$405,941.1",$276.4,$64.5,,"AFN 17,829",پرداخت معاش محبوب الله ولد محب الله بابت ماه حوت سال 1404 ,23-Apr-26,528.2494253,
"$406,306.0",$364.9,$64.5,,"AFN 23,534",پرداخت معاش محبوب الله ولد محب الله بابت ماه حمل سال 1404 ,23-Apr-26,529.3988506,
"$406,310.6",$4.7,$64.5,,AFN 300,خریداری تیل پطرول به ویبراتور های تعمیر للندر 4 ,23-Apr-26,530.5482759,
"$476,310.6","$70,000.0",$64.5,"$70,000.00",,"پرداخت پول باقیمانده شرکت تجارتی حاجی نادر دولت زی بابت خریداری سیخ گول 22 , 10, 20, 12, 12, 14, 10, 18, 20, 20 میلی به تعمیر للندر 4 ",23-Apr-26,531.6977011,
"$476,313.4",$2.7,64.5,,AFN 175,خریدرای کشمش و خلال بابت تعمیر للندر 4 در شب کانکریت ,25-Apr-26,532.8471264,
"$476,318.1",$4.7,64.5,,AFN 305,"خریداری پیاز, کشمش و خلال بابت تعمیر للندر 4 ",25-Apr-26,533.9965517,
"$476,321.3",$3.2,64.5,,AFN 205,خریدرای کشمش پلوی و خلال بابت تعمیر للندر 4 ,25-Apr-26,535.145977,
"$476,339.9",$18.6,64.5,,"AFN 1,200",خریداری گوشت مرغ بابت تعمیر للندر 4 ,25-Apr-26,536.2954023,
"$476,355.4",$15.5,64.5,,"AFN 1,000",خریداری تیل پطرول به موتر کرولای نقره یی بابت تعمیر للندر 4 ,25-Apr-26,537.4448276,
"$476,681.0",$325.6,64.5,,"AFN 21,000",پرداخت معاش مدیر مهراج الدین ولد دادالله بابت ماه حمل سال 1405 ,25-Apr-26,538.5942529,
"$476,686.4",$5.4,64.5,,AFN 350,خریداری تیل پطرول به ویبراتور های تعمیر للندر 4 ,25-Apr-26,539.7436782,
"$476,712.0",$25.6,64.5,,"AFN 1,650",خریداری تیل دیزل به جنراتور تعمیر للندر 4 ,25-Apr-26,540.8931034,
"$476,716.0",$4.0,64.5,,AFN 260,"خریداری مواد خوراکی از قبیل رومی, سیر, مرچ, ماست و مصاله بریانی بابت تعمیر للندر 4",25-Apr-26,542.0425287,
"$476,764.2",$48.2,64.35,,"AFN 3,100",خریداری تیل پطرول به موتر کرولای نقره یی بابت تعمیر للندر 4,26-Apr-26,543.191954,
"$476,898.7",$134.6,64.5,,"AFN 8,680",پرداخت برای خبازی سمیح الله بابت خریداری نان خشک به تعمیر للندر 4 بابت ماه حوت و حمل ,27-Apr-26,545.4908046,
"$477,022.8",$124.0,64.5,,"AFN 8,000",پرداخت معاش عبدالمتین ولد نیک محمد برای ماه حمل سال 1405 بابت للندر 4 ,27-Apr-26,546.6402299,
"$477,255.3",$232.6,64.5,,"AFN 15,000",پیش پرداخت برای احمد فرید للندر بابت ماه ثور 1405,27-Apr-26,547.7896552,
"$477,317.3",$62.0,64.5,,"AFN 4,000",پرداخت پول باقیمانده احمد فرید للندر بابت ماه حمل 1405,27-Apr-26,548.9390805,
"$477,383.6",$66.2,64.3,,"AFN 4,258",پرداخت معاش برای هارون ولد فضل الرحمان بابت ماه حمل سال 1405 ,28-Apr-26,550.0885057,
"$477,539.1",$155.5,64.3,,"AFN 10,000",پرداخت برای گلبدالدین توسط قیان الدین بابت سیم تابی و قالبکاری تعمیر للندر 4 بدست قیام الدین ,28-Apr-26,551.237931,
"$477,579.2",$40.1,64.3,,"AFN 2,581",پرداخت معاش برای محمد صدیق ولد محمد محمد سلیم بابت ماه ثور سال 1405 ,28-Apr-26,552.3873563,
"$477,614.3",$35.1,64.3,,"AFN 2,258",پرداخت معاش برای هارون ولد فیض محمد بابت ماه ثور سال 1405 ,28-Apr-26,553.5367816,
"$477,650.5",$36.1,64.3,,"AFN 2,323",پرداخت معاش برای زین الله ولد محمد ظاهر بابت ماه حمل سال 1405 ,28-Apr-26,554.6862069,
"$477,749.8",$99.3,64.3,,"AFN 6,387",پرداخت معاش هارون ولد فیض محمد بابت ماه حمل سال 1405,28-Apr-26,555.8356322,
"$477,767.9",$18.1,64.3,,"AFN 1,161",پرداخت معاش برای شریف الله ولد فیض محمد بابت ماه حمل سال 1405,29-Apr-26,,
"$477,784.9",$17.1,64.4,,"AFN 1,100",خریداری گاز و پیاز بابت تعمیر للندر 4 ,30-Apr-26,556.9850575,
"$477,787.3",$2.3,64.4,,AFN 150,خریداری چاکلیت بابت تعمیر للندر 4 ,30-Apr-26,558.1344828,
"$478,631.2",$843.9,64.4,,"AFN 54,350","پرداخت برای شرکت هرات الکتریک بابت خریداری سیم جریدار 1.5 میلی, سیم 3/2.5 کیبل کمره و کلمپ 8 میلی و میخ به تعمیر للندر 4 ",30-Apr-26,559.283908,
"$479,611.5",$980.3,64.4,,"AFN 63,133","پرداخت اجرت ساعتوار جکمر نمودن پایل ها, رینگ و تهداب دیوار احاطوی افغان بیسیم سکشن A و همچنان هموار کاری مواد جکمر شده و مواد انتقال شده به ساحه تعمیر للندر 4 ",30-Apr-26,560.4333333,
"$481,552.5","$1,941.0",64.4,,"AFN 125,000",پرداخت برای گلبدین بابت سیم تابی و قالبکاری تعمیر للندر 4 ,30-Apr-26,561.5827586,
"$481,855.0",$302.5,64.4,,"AFN 19,480","پرداخت برای خورده فروشی خوستی بابت خریداری سیم جستی, دستکش و سیخ ولدینگ و پل چرخ به تعمیر للندر 4 ",30-Apr-26,562.7321839,
"$484,627.0","$2,772.0",64.4,"$2,772.00",,پرداخت برای شرکت کاک سقفی فراز آژمان بابت تعمیر للندر 4,30-Apr-26,563.8816092,
"$484,641.2",$14.2,63.6,,AFN 900,خریداری گوشت گوساله بابت تعمیر للندر 4 ,2-May-26,565.0310345,
"$484,644.8",$3.6,63.6,,AFN 230,خریداری تیل پطرول به ویبراتور های تعمیر للندر 4 ,2-May-26,566.1804598,
"$484,676.2",$31.4,63.6,,"AFN 2,000",پیش پرداخت برای احمد فرید للندر بابت ماه ثور 1405,2-May-26,567.3298851,
"$484,684.2",$8.0,63.6,,AFN 510,"خریداری پنیرک, گاز, فیس و گازکیت بابت تعمیر للندر 4 ",3-May-26,568.4793103,
"$484,712.1",$27.8,63.6,,"AFN 1,770",خریداری تیل دیزل به جنراتور تعمیر للندر 4 ,3-May-26,569.6287356,
"$697,285.1","$212,573.0",63.6,"$212,573.00",,پرداخت و تصفیه حساب مکمل سیخ گول شرکت حاجی نادر دولت زی بابت تعمیر للندر 4 ,3-May-26,570.7781609,
